Date;Day;Month;Year;Customer_Age;Age_Group;Customer_Gender;Country;State;Product_Category;Sub_Category;Product;Order_Quantity;Unit_Cost;Unit_Price;Profit;Total_Cost;Total_Price
2013-11-26;26;November;2013;19;Youth;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2015-11-26;26;November;2015;19;Youth;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2014-03-23;23;March;2014;49;Adults;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;23;45;120;1725;1035;2760
2016-03-23;23;March;2016;49;Adults;M;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;20;45;120;1500;900;2400
2014-05-15;15;May;2014;47;Adults;F;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2016-05-15;15;May;2016;47;Adults;F;Australia;New South Wales;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2014-05-22;22;May;2014;47;Adults;F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;300;180;480
2016-05-22;22;May;2016;47;Adults;F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2014-02-22;22;February;2014;35;Adults;M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;22;45;120;1650;990;2640
2016-02-22;22;February;2016;35;Adults;M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;21;45;120;1575;945;2520
2013-07-30;30;July;2013;32;Young Adults;F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2015-07-30;30;July;2015;32;Young Adults;F;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2013-07-15;15;July;2013;34;Young Adults;M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2015-07-15;15;July;2015;34;Young Adults;M;Australia;Victoria;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2013-08-02;2;August;2013;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;375;225;600
2015-08-02;2;August;2015;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2013-09-02;2;September;2013;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;150;90;240
2015-09-02;2;September;2015;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2014-01-22;22;January;2014;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2016-01-22;22;January;2016;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2014-05-17;17;May;2014;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
2016-05-17;17;May;2016;29;Young Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;600;360;960
2014-03-27;27;March;2014;51;Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;675;405;1080
2016-03-27;27;March;2016;51;Adults;M;United States;Oregon;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;525;315;840
2013-08-25;25;August;2013;49;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;225;135;360
2015-08-25;25;August;2015;49;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;75;45;120
2013-12-26;26;December;2013;49;Adults;M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;450;270;720
